features,model,fractal,regime_mode,used_lime,used_online_adapt,used_rfe,rfe_features_selected,mse,rmse,mae,r2,explained_variance,mape
DIX+GEX+SKEW,ARIMA,hurst,feature,False,False,False,,12.124524539457317,3.4820287964715795,2.834046747840598,0.091124633435402,0.262894040917397,18.53619374333981
DIX+GEX+SKEW,GARCH,hurst,feature,False,False,False,,70.8938544375359,8.419848836976582,7.572674555575782,-4.314326160123115,-0.015615624488694024,42.32403066140999
DIX+GEX+SKEW,ANN,hurst,feature,False,False,False,,0.004086230250848239,0.06392362826723964,0.050994841880226086,-0.6850870693920665,-0.1549368163740532,60.274236238458975
DIX+GEX+SKEW,RNN,hurst,feature,False,False,False,,0.004819563649811733,0.06942307721364513,0.05766921597871967,-0.9875004314120355,-0.4171756701181786,80.32420312861764
DIX+GEX+SKEW,LSTM,hurst,feature,False,False,False,,0.003024219993466903,0.054992908574350775,0.04595802503897835,-0.2471333461765084,-0.017744555470187162,62.37621884741711
DIX+GEX+SKEW,GRU,hurst,feature,False,False,False,,0.004408267687654703,0.06639478659996358,0.056900257259107405,-0.817889453817195,-0.11087678285737379,80.30066243931684
DIX+GEX+SKEW,CNN,hurst,feature,False,False,False,,0.00777212565601207,0.08815966002663617,0.07632490247104202,-2.2050833263538183,-0.19392833660972686,94.31627804170505
DIX+GEX+SKEW,CNN_LSTM,hurst,feature,False,False,False,,0.005168657546247105,0.07189337623346886,0.06030455165940136,-1.1314604079123383,-0.06898397879374141,72.42791005165682
DIX+GEX+SKEW,ARIMA,wavelet,feature,False,False,False,,12.702823412402791,3.564102048539406,2.9374060154091994,-0.021310779236695998,0.16315588651216872,19.21949039288694
DIX+GEX+SKEW,GARCH,wavelet,feature,False,False,False,,66.35858810930222,8.146078081463633,7.332374104463167,-4.335250214120618,-0.01263194414518276,41.34189807175817
DIX+GEX+SKEW,ANN,wavelet,feature,False,False,False,,0.005228012926371083,0.07230499931796613,0.058138635169053265,-1.300134960987192,-0.19758746588445875,64.5853761002463
DIX+GEX+SKEW,RNN,wavelet,feature,False,False,False,,0.008196956158813672,0.09053704302004607,0.0804373814395021,-2.6063616712695836,0.05125015920930254,95.16590010007339
DIX+GEX+SKEW,LSTM,wavelet,feature,False,False,False,,0.007211754808690688,0.08492205136883287,0.07712360275877131,-2.1729090190010627,0.24909918112509888,92.84112922945414
DIX+GEX+SKEW,GRU,wavelet,feature,False,False,False,,0.010747927506990723,0.10367221183610738,0.09624959430688525,-3.7286960007853915,0.1891597546997742,116.54619926941032
DIX+GEX+SKEW,CNN,wavelet,feature,False,False,False,,0.010199969284491205,0.10099489731907847,0.08339487588497299,-3.4876143733138987,-0.7365366156842672,92.47046234281247
DIX+GEX+SKEW,CNN_LSTM,wavelet,feature,False,False,False,,0.01013282169029744,0.10066191777577774,0.09183337068445623,-3.4580718815246776,0.08101652979927088,120.28649481414408
DIX+GEX+PUTCALLRATIO,ARIMA,none,feature,False,False,False,,11.513700160040147,3.3931843687073866,2.7544182343067853,0.3794056249896901,0.46991275916712183,17.696373638475936
DIX+GEX+PUTCALLRATIO,GARCH,none,feature,False,False,False,,83.67996314673759,9.147675286472383,8.049273817180802,-3.5103931584192214,-0.018135148491324138,43.46097916660083
DIX+GEX+PUTCALLRATIO,ANN,none,feature,False,False,False,,0.0038807081160707126,0.06229532980947057,0.04751675638110247,-0.15816021331464536,-0.14432464995517247,48.90240750775905
DIX+GEX+PUTCALLRATIO,RNN,none,feature,False,False,False,,0.0034379836977098763,0.058634321840624,0.04822961324602033,-0.026033345879030723,0.05060064973842038,58.58354212336905
DIX+GEX+PUTCALLRATIO,LSTM,none,feature,False,False,False,,0.0031618991755562095,0.05623076716137002,0.04521039258045571,0.05636143865686882,0.08106819754005357,53.5267372809196
DIX+GEX+PUTCALLRATIO,GRU,none,feature,False,False,False,,0.002950275425523765,0.05431643789428542,0.043065685947955075,0.11951852240275562,0.12037665328286251,48.65497380439914
DIX+GEX+PUTCALLRATIO,CNN,none,feature,False,False,False,,0.011870967679108833,0.10895397046050609,0.0969614484954561,-2.5427767428714874,-0.276681894156972,120.42259737095
DIX+GEX+PUTCALLRATIO,CNN_LSTM,none,feature,False,False,False,,0.013475962124758309,0.11608601175317511,0.09552870894919815,-3.0217719813550064,-1.021098965780543,110.36863861236664
DIX+GEX+PUTCALLRATIO,ARIMA,hurst,feature,False,False,False,,12.124524539457317,3.4820287964715795,2.834046747840598,0.091124633435402,0.262894040917397,18.53619374333981
DIX+GEX+PUTCALLRATIO,GARCH,hurst,feature,False,False,False,,70.8938544375359,8.419848836976582,7.572674555575782,-4.314326160123115,-0.015615624488694024,42.32403066140999
DIX+GEX+PUTCALLRATIO,ANN,hurst,feature,False,False,False,,0.00200050107479482,0.044726961385665585,0.033279654292428705,0.1750297250768209,0.17503780310455685,34.357347409316034
DIX+GEX+PUTCALLRATIO,RNN,hurst,feature,False,False,False,,0.0026409942062206996,0.05139060426012424,0.041581525204404717,-0.08909799841016053,-0.0881311041629691,47.438843973779555
DIX+GEX+PUTCALLRATIO,LSTM,hurst,feature,False,False,False,,0.0027474250195575656,0.05241588518338277,0.04372694224349037,-0.13298813095998563,0.0062661225445928,57.85370342829547
DIX+GEX+PUTCALLRATIO,GRU,hurst,feature,False,False,False,,0.0032149009021668396,0.05670009613895588,0.0471882356328536,-0.3257666864204882,-0.0072515486036928145,65.70650610842638
DIX+GEX+PUTCALLRATIO,CNN,hurst,feature,False,False,False,,0.004286772718225645,0.0654734504835788,0.05703485366052871,-0.767787137155379,0.02087713680804848,71.93101178692065
DIX+GEX+PUTCALLRATIO,CNN_LSTM,hurst,feature,False,False,False,,0.005758626644428146,0.07588561553040303,0.06290767870560748,-1.3747529385961879,-0.3749102091950276,74.81492389941887
DIX+GEX+PUTCALLRATIO,ARIMA,wavelet,feature,False,False,False,,12.702823412402791,3.564102048539406,2.9374060154091994,-0.021310779236695998,0.16315588651216872,19.21949039288694
DIX+GEX+PUTCALLRATIO,GARCH,wavelet,feature,False,False,False,,66.35858810930222,8.146078081463633,7.332374104463167,-4.335250214120618,-0.01263194414518276,41.34189807175817
DIX+GEX+PUTCALLRATIO,ANN,wavelet,feature,False,False,False,,0.005425512577485157,0.07365807883379227,0.060164195565338544,-1.3870276023612793,-0.05010806758945918,66.73287030624053
DIX+GEX+PUTCALLRATIO,RNN,wavelet,feature,False,False,False,,0.013082277232610401,0.11437778295023208,0.10710194572898046,-4.755724719093416,0.164005426129747,128.6407750415848
DIX+GEX+PUTCALLRATIO,LSTM,wavelet,feature,False,False,False,,0.013185491276068693,0.11482809445457454,0.10843502878066605,-4.80113513279491,0.2414034398056787,131.38870022164411
DIX+GEX+PUTCALLRATIO,GRU,wavelet,feature,False,False,False,,0.005618688279093693,0.07495791005019879,0.06818961383858252,-1.4720178636978063,0.3632900649519334,84.47713923232646
